SalePrice,id
110740.11286429397,1461
147865.63688714776,1462
172160.57114799772,1463
189419.0070770923,1464
207467.28234044288,1465
188336.52395654196,1466
163467.07985131282,1467
180606.0966013729,1468
195069.7479684719,1469
111244.88257764032,1470
195802.96299271053,1471
128718.91265097017,1472
122400.16675427736,1473
169806.72603211045,1474
135763.14190088253,1475
348769.90311125416,1476
260299.56182669895,1477
298452.83473576204,1478
279684.2184346379,1479
374542.64777011937,1480
305005.192873157,1481
222820.65560093636,1482
178836.24872587965,1483
184350.3301526756,1484
191979.7069025534,1485
219823.7485745706,1486
315095.04201252805,1487
261730.69195026474,1488
191652.97208115985,1489
188282.18143139617,1490
215279.10867935253,1491
104683.583537741,1492
173489.24709572378,1493
300477.35319682263,1494
293492.3692605323,1495
208951.80186324997,1496
216619.6684299088,1497
183168.1019643584,1498
183168.1019643584,1499
168456.95879337552,1500
183974.90295286803,1501
173217.88936382552,1502
256974.13423425183,1503
248871.3607760723,1504
208113.216762675,1505
189754.44786646272,1506
231987.96559540267,1507
191473.2204861189,1508
180530.20059657787,1509
143693.56563242478,1510
142349.99559390562,1511
156034.03398817196,1512
177734.1648070875,1513
138141.67525316819,1514
186096.85870117924,1515
162813.65428018468,1516
138998.76090474505,1517
156971.5670792393,1518
207833.2407958464,1519
124428.35219157576,1520
127801.04083332149,1521
174968.81048797112,1522
118747.76502362064,1523
116970.55384790419,1524
113549.31593593203,1525
115401.13445776804,1526
100871.90207219507,1527
136205.51771025886,1528
138101.63787187968,1529
167617.14378642742,1530
117946.15556143242,1531
92927.05253893051,1532
146650.4305249826,1533
134014.07546518478,1534
141987.07323082205,1535
116090.40867946662,1536
77422.87564192642,1537
161216.8096110823,1538
192245.484416012,1539
132555.15505501707,1540
150444.1933733776,1541
141702.95201375836,1542
180972.829289085,1543
84133.57622599172,1544
126909.31861210175,1545
142207.74651079025,1546
131400.2039537323,1547
145484.4016357062,1548
118975.75915445917,1549
139999.72860232496,1550
120943.5262756247,1551
139062.80673711147,1552
126550.61616113695,1553
130076.79155692217,1554
146458.5040850931,1555
112733.09663659552,1556
111202.97318482267,1557
115485.71974420123,1558
111164.87161448094,1559
137924.67207341257,1560
130415.44796687717,1561
111920.20675136098,1562
110872.18162119365,1563
156404.28212664,1564
152375.72951662572,1565
197998.89034689934,1566
91367.91216896517,1567
199295.27170775234,1568
109783.00625909927,1569
127950.9426482756,1570
123010.37061794504,1571
124315.14774978989,1572
217867.16837793123,1573
143348.9513668798,1574
200235.49319576047,1575
235303.05626742303,1576
192481.60667518154,1577
137258.51635193545,1578
137368.89971690616,1579
213629.39946544348,1580
123735.03717640454,1581
123197.36184326444,1582
289821.45627853175,1583
237428.65992923646,1584
